model,accuracy,train_accuracy,recall,precision,cost,latency,date
SVM_hate_xplain_tf_idf-256,21.72,0.0,0.0,0.0,0.0,575676956.0833334,2025-04-19 12:43:38.329845
XGBoost_hate_xplain_tf_idf-256,66.4,0.0,0.0,0.0,0.0,6814706.458333333,2025-04-19 12:43:38.435740
SVM_tuke_sk_tf_idf-1,96.98,0.0,0.0,0.0,0.0,4663629.304483837,2025-04-19 12:43:49.855314
XGBoost_tuke_sk_tf_idf-1,99.9,0.0,0.0,0.0,0.0,3841101.646506778,2025-04-19 12:43:49.958624
SVM_tuke_sk_tf_idf-16,96.98,0.0,0.0,0.0,0.0,22378970.616666667,2025-04-19 12:43:53.836074
XGBoost_tuke_sk_tf_idf-16,99.9,0.0,0.0,0.0,0.0,40668646.4,2025-04-19 12:43:54.260950
SVM_tuke_sk_tf_idf-32,96.98,0.0,0.0,0.0,0.0,37175187.03333333,2025-04-19 12:43:55.622371
XGBoost_tuke_sk_tf_idf-32,99.9,0.0,0.0,0.0,0.0,5122079.9,2025-04-19 12:43:55.714342
SVM_tuke_sk_tf_idf-64,96.98,0.0,0.0,0.0,0.0,71641784.53333333,2025-04-19 12:43:56.948735
XGBoost_tuke_sk_tf_idf-64,99.9,0.0,0.0,0.0,0.0,4789750.533333333,2025-04-19 12:43:57.037146
SVM_tuke_sk_tf_idf-128,96.98,0.0,0.0,0.0,0.0,121132568.25,2025-04-19 12:43:58.200882
XGBoost_tuke_sk_tf_idf-128,99.9,0.0,0.0,0.0,0.0,13204933.375,2025-04-19 12:43:58.346518
SVM_tuke_sk_tf_idf-256,96.98,0.0,0.0,0.0,0.0,230355474.75,2025-04-19 12:43:59.376435
XGBoost_tuke_sk_tf_idf-256,99.9,0.0,0.0,0.0,0.0,4331999.75,2025-04-19 12:43:59.522323
SVM_dkk_tf_idf-1,75.38,0.0,0.0,0.0,0.0,4584598.890577507,2025-04-19 12:44:02.423623
XGBoost_dkk_tf_idf-1,100.0,0.0,0.0,0.0,0.0,3545283.0547112464,2025-04-19 12:44:02.517066
SVM_dkk_tf_idf-16,75.38,0.0,0.0,0.0,0.0,22596915.38095238,2025-04-19 12:44:03.158576
XGBoost_dkk_tf_idf-16,100.0,0.0,0.0,0.0,0.0,3755122.9523809524,2025-04-19 12:44:03.256215
SVM_dkk_tf_idf-32,75.38,0.0,0.0,0.0,0.0,40029837.36363637,2025-04-19 12:44:03.817437
XGBoost_dkk_tf_idf-32,100.0,0.0,0.0,0.0,0.0,3713181.6363636362,2025-04-19 12:44:03.910636
SVM_dkk_tf_idf-64,75.38,0.0,0.0,0.0,0.0,69317496.16666667,2025-04-19 12:44:04.430971
XGBoost_dkk_tf_idf-64,100.0,0.0,0.0,0.0,0.0,3876515.6666666665,2025-04-19 12:44:04.522319
SVM_dkk_tf_idf-128,75.38,0.0,0.0,0.0,0.0,134686810.33333334,2025-04-19 12:44:05.023784
XGBoost_dkk_tf_idf-128,100.0,0.0,0.0,0.0,0.0,4532254.333333333,2025-04-19 12:44:05.116960
SVM_dkk_tf_idf-256,75.38,0.0,0.0,0.0,0.0,196871703,2025-04-19 12:44:05.602480
XGBoost_dkk_tf_idf-256,100.0,0.0,0.0,0.0,0.0,4015158.5,2025-04-19 12:44:05.695345
SVM_web_questions_tf_idf-1,54.87,0.0,0.0,0.0,0.0,5053567.357283465,2025-04-19 12:44:26.286244
XGBoost_web_questions_tf_idf-1,99.36,0.0,0.0,0.0,0.0,3467297.624507874,2025-04-19 12:44:26.389456
SVM_web_questions_tf_idf-16,54.87,0.0,0.0,0.0,0.0,25953298.921259843,2025-04-19 12:44:30.339523
XGBoost_web_questions_tf_idf-16,99.36,0.0,0.0,0.0,0.0,4290640.039370079,2025-04-19 12:44:30.439888
